link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30]
12542,12404,12518,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6591,12543,12649,2,1376,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6590,12543,12649,2,1376,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12665,12544,12650,2,1376,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12666,12544,12650,2,1376,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622,12667,12781,2,1376,9982,10080,10178,10276,10374,10472,10570,10668,,,,,,,,,,,,,,,,,,,,,,,
6623,12667,12781,2,1376,9982,10080,10178,10276,10374,10472,10570,10668,,,,,,,,,,,,,,,,,,,,,,,
12801,12668,12782,2,1376,12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802,12668,12782,2,1376,12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12803,12668,12782,2,1376,12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12804,12668,12782,2,1376,12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12805,12668,12782,2,1376,12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12806,12668,12782,2,1376,12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
