link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
4510,10157,10527,1,419840,744,,,,,,,,,,,,,,,,,,,,,,,,,,
10545,10158,10528,1,419840,10527,,,,,,,,,,,,,,,,,,,,,,,,,,
10546,10158,10528,1,419840,10527,,,,,,,,,,,,,,,,,,,,,,,,,,
10551,10159,10529,1,419840,10528,,,,,,,,,,,,,,,,,,,,,,,,,,
10552,10159,10529,1,419840,10528,,,,,,,,,,,,,,,,,,,,,,,,,,
10554,10160,10530,1,419840,10529,,,,,,,,,,,,,,,,,,,,,,,,,,
10557,10161,10531,1,419840,10529,,,,,,,,,,,,,,,,,,,,,,,,,,
10561,10162,10532,1,419840,10529,,,,,,,,,,,,,,,,,,,,,,,,,,
10566,10163,10533,1,419840,10532,,,,,,,,,,,,,,,,,,,,,,,,,,
10567,10163,10533,1,419840,10528,,,,,,,,,,,,,,,,,,,,,,,,,,
10569,10164,10534,1,419840,10532,10533,,,,,,,,,,,,,,,,,,,,,,,,,
10572,10165,10535,1,419840,10533,,,,,,,,,,,,,,,,,,,,,,,,,,
10573,10165,10535,1,419840,10527,,,,,,,,,,,,,,,,,,,,,,,,,,
4511,10166,10536,1,419840,744,,,,,,,,,,,,,,,,,,,,,,,,,,
4512,10166,10536,1,419840,744,,,,,,,,,,,,,,,,,,,,,,,,,,
10575,10166,10536,1,419840,10530,10534,10535,,,,,,,,,,,,,,,,,,,,,,,,
10576,10166,10536,1,419840,10535,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,10577,10946,2,26240,1055,,,,,,,,,,,,,,,,,,,,,,,,,,
10956,10578,10947,2,26240,10946,,,,,,,,,,,,,,,,,,,,,,,,,,
10960,10579,10948,2,26240,10947,,,,,,,,,,,,,,,,,,,,,,,,,,
10964,10580,10949,2,26240,10948,,,,,,,,,,,,,,,,,,,,,,,,,,
10968,10581,10950,2,26240,10949,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,10582,10951,2,26240,1055,,,,,,,,,,,,,,,,,,,,,,,,,,
10973,10582,10951,2,26240,10949,,,,,,,,,,,,,,,,,,,,,,,,,,
4516,10583,10952,2,26240,1055,,,,,,,,,,,,,,,,,,,,,,,,,,
10975,10583,10952,2,26240,10951,,,,,,,,,,,,,,,,,,,,,,,,,,
4522,10976,11345,2,26240,1068,,,,,,,,,,,,,,,,,,,,,,,,,,
11355,10977,11346,2,26240,11345,,,,,,,,,,,,,,,,,,,,,,,,,,
11359,10978,11347,2,26240,11346,,,,,,,,,,,,,,,,,,,,,,,,,,
11363,10979,11348,2,26240,11347,,,,,,,,,,,,,,,,,,,,,,,,,,
11367,10980,11349,2,26240,11348,,,,,,,,,,,,,,,,,,,,,,,,,,
4521,10981,11350,2,26240,1068,,,,,,,,,,,,,,,,,,,,,,,,,,
11372,10981,11350,2,26240,11348,,,,,,,,,,,,,,,,,,,,,,,,,,
4520,10982,11351,2,26240,1068,,,,,,,,,,,,,,,,,,,,,,,,,,
11374,10982,11351,2,26240,11350,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,11375,11744,2,26240,1081,,,,,,,,,,,,,,,,,,,,,,,,,,
11754,11376,11745,2,26240,11744,,,,,,,,,,,,,,,,,,,,,,,,,,
11758,11377,11746,2,26240,11745,,,,,,,,,,,,,,,,,,,,,,,,,,
11762,11378,11747,2,26240,11746,,,,,,,,,,,,,,,,,,,,,,,,,,
11766,11379,11748,2,26240,11747,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,11380,11749,2,26240,1081,,,,,,,,,,,,,,,,,,,,,,,,,,
11771,11380,11749,2,26240,11747,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,11381,11750,2,26240,1081,,,,,,,,,,,,,,,,,,,,,,,,,,
11773,11381,11750,2,26240,11749,,,,,,,,,,,,,,,,,,,,,,,,,,
4530,11774,12143,2,26240,1094,,,,,,,,,,,,,,,,,,,,,,,,,,
12153,11775,12144,2,26240,12143,,,,,,,,,,,,,,,,,,,,,,,,,,
12157,11776,12145,2,26240,12144,,,,,,,,,,,,,,,,,,,,,,,,,,
12161,11777,12146,2,26240,12145,,,,,,,,,,,,,,,,,,,,,,,,,,
12165,11778,12147,2,26240,12146,,,,,,,,,,,,,,,,,,,,,,,,,,
4532,11779,12148,2,26240,1094,,,,,,,,,,,,,,,,,,,,,,,,,,
12170,11779,12148,2,26240,12146,,,,,,,,,,,,,,,,,,,,,,,,,,
4531,11780,12149,2,26240,1094,,,,,,,,,,,,,,,,,,,,,,,,,,
