link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5550,868,3,1,1,5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5551,868,3,1,1,5487,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5552,868,3,1,1,5488,5489,5493,5496,5518,5519,5522,5523,5524,5525,5526,5527,5529,5530,5531,5532,5533,5534,5536,5537,5538,5539,5540,5541,5543,5544,5545,5546,5547,5548
5553,868,3,1,1,5492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562,898,872,2,44032,12630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5563,876,872,2,32,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5564,873,872,2,8,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5565,898,872,2,5504,13079,13521,13963,14405,14847,,,,,,,,,,,,,,,,,,,,,,,,,
5569,979,975,2,512,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5570,976,975,2,32,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5590,1142,1122,1,5504,5505,5506,5507,5508,5509,,,,,,,,,,,,,,,,,,,,,,,,,
5591,1142,1122,1,5504,5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5595,1206,1205,2,44032,12044,12057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,1219,1218,2,512,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5603,1253,1252,2,44032,12052,12054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,1266,1265,2,44032,12054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5611,1279,1278,2,44032,12050,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
