link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
12445,12289,12422,2,44032,12421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12446,12289,12422,2,44032,12421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5676,12447,12580,2,5504,5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12602,12448,12581,2,44032,12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12603,12448,12581,2,44032,12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12604,12448,12581,2,44032,12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12605,12448,12581,2,44032,12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679,12606,12735,2,5504,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12755,12607,12736,2,44032,12735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12756,12607,12736,2,44032,12735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5682,12757,12886,2,5504,5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12906,12758,12887,2,44032,12886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12907,12758,12887,2,44032,12886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704,12908,13036,2,44032,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5705,12909,13037,2,44032,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5703,12909,13037,2,44032,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13055,12909,13037,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5709,13056,13184,2,44032,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
